k162a,k162b,k20a1,k82a,k82b,k11,b5,a4a,a3a,a6a,l1,b2a,b2b,b4,b4a,b3a,b7,b7a,d2,n3,f1,k21,k6,k9,k3a,k3bc,k3e,k3f,k3dgh,k5a,k5bc,k5e,k5f,k14a,k14b,k14c,k14d,k15a,k33,k38,b6b,c22b,h1,h5,h8,l9b,l10,c6,c7,c9a,c10,k30,c30a,j30f,j30e,e30,d30a,j30a,j30b,k17,m1a,firm_age,registration_age,sales_growth,d2_win,n3_win,k11_win,k15a_win,l1_win,c7_win,ln_sales,ln_sales3,ln_loan,ln_employees,ln_collateral,sector_label,region_label,size_label,sme_size,credit_uptake,has_credit,loan_approved,creditworthy
0.0,0.0,,0.0,0.0,,2005.0,7,6,2,21.0,100.0,0.0,0.0,,1.0,15.0,0.0,40000000.0,32000000.0,70.0,1.0,1.0,,80.0,0.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,,,,,,70.0,70.0,,0.0,1.0,0.0,0.0,100.0,0.0,1.0,12.0,15.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,8.0,19.0,,25.0,40000000.0,32000000.0,,,21.0,12.0,17.50439003707821,17.281246492014,,3.091042453358316,,Other Services,South West,Medium,Medium,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,,7,5,2,5.0,100.0,0.0,0.0,,0.0,8.0,0.0,70000000.0,72000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,40.0,50.0,,0.0,0.0,0.0,0.0,100.0,0.0,1.0,12.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,-2.7777777777777777,70000000.0,72000000.0,,,5.0,12.0,18.064005814299346,18.09217669086922,,1.791759469228055,,Other Services,South South,Medium,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1976.0,7,1,2,1500.0,100.0,0.0,0.0,,0.0,20.0,0.0,5000000000.0,5000000000.0,,1.0,1.0,,70.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,,,,,,80.0,80.0,1976.0,1.0,0.0,0.0,0.0,80.0,0.0,0.0,,,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,48.0,48.0,0.0,5000000000.0,5000000000.0,,,800.0,,22.33270374958051,22.33270374958051,,6.68586094706836,,Other Services,North Central,Medium,Large,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1969.0,7,3,2,12.0,50.0,50.0,0.0,,0.0,12.0,0.0,312000000.0,240000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,95.0,80.0,1969.0,1.0,0.0,0.0,0.0,100.0,1.0,1.0,4.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,6.0,55.0,55.0,30.0,312000000.0,240000000.0,,,12.0,4.0,19.558513748978886,19.29614948547293,,2.5649493574615367,,Other Services,North West,Medium,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2009.0,7,4,1,5.0,100.0,0.0,0.0,,1.0,1.0,0.0,13000000.0,11000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,70.0,65.0,2011.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,15.0,13.0,18.181818181818183,13000000.0,11000000.0,,,5.0,2.0,16.380459992348886,16.213405921671733,,1.791759469228055,,Other Services,South East,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1991.0,4,6,2,30.0,100.0,0.0,0.0,,1.0,5.0,0.0,120000000.0,100000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,60.0,70.0,2002.0,0.0,0.0,0.0,0.0,70.0,0.0,1.0,11.0,10.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,33.0,22.0,20.0,120000000.0,100000000.0,,,30.0,11.0,18.603002309079653,18.420680753952364,,3.4339872044851463,,Other Manufacturing,South West,Medium,Medium,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2013.0,2,4,1,7.0,100.0,0.0,1.0,100.0,1.0,15.0,1.0,12000000.0,8000000.0,100.0,1.0,1.0,,70.0,0.0,0.0,0.0,0.0,,,,,,,,,,60.0,40.0,2014.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,,,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,6.0,8.0,11.0,10.0,50.0,12000000.0,8000000.0,,,7.0,,16.300417291085605,15.894952224644102,,2.0794415416798357,,Garments,South East,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2002.0,7,3,3,100.0,50.0,50.0,0.0,,0.0,22.0,0.0,1500000000.0,1300000000.0,,1.0,1.0,,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,99.0,99.0,2002.0,0.0,0.0,0.0,1.0,100.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,1.0,22.0,22.0,15.384615384615385,1500000000.0,1300000000.0,,,100.0,2.0,21.12873094572124,20.985630102183134,,4.61512051684126,,Other Services,North West,Large,Large,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1987.0,3,1,1,19.0,100.0,0.0,0.0,,0.0,19.0,0.0,40000000.0,38000000.0,,1.0,1.0,,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,80.0,80.0,1987.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,,,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,37.0,37.0,5.263157894736842,40000000.0,38000000.0,,,19.0,,17.50439003707821,17.453096744006448,,2.995732273553991,,Fabricated Metals,North Central,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2006.0,3,4,1,8.0,100.0,0.0,0.0,,1.0,22.0,0.0,18000000.0,15000000.0,100.0,1.0,1.0,,80.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,,,,,,60.0,40.0,2007.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,,,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,18.0,17.0,20.0,18000000.0,15000000.0,,,8.0,,16.705882371415992,16.52356082573315,,2.1972245773362196,,Fabricated Metals,South East,Small,Small,0.0,0.0,,0
